provider_number,year,state,state_name,uncomp_care,uncomp_care_m,expand_year,expand_ever,expanded,date_adopted,post,treat,time_to_treat,time_to_treat_bin
010001,2011,AL,Alabama,19973929.0,19.973929,,0,0,,0,0,0,0
010001,2012,AL,Alabama,21020239.0,21.020239,,0,0,,0,0,0,0
010001,2013,AL,Alabama,19980407.0,19.980407,,0,0,,0,0,0,0
010001,2014,AL,Alabama,22856852.0,22.856852,,0,0,,1,0,0,0
010001,2015,AL,Alabama,17731575.0,17.731575,,0,0,,1,0,0,0
010001,2016,AL,Alabama,21657836.0,21.657836,,0,0,,1,0,0,0
010001,2017,AL,Alabama,22295878.0,22.295878,,0,0,,1,0,0,0
010001,2018,AL,Alabama,21782404.0,21.782404,,0,0,,1,0,0,0
010005,2011,AL,Alabama,1133668.0,1.133668,,0,0,,0,0,0,0
010005,2012,AL,Alabama,11019298.0,11.019298,,0,0,,0,0,0,0
010005,2013,AL,Alabama,11286727.0,11.286727,,0,0,,0,0,0,0
010005,2014,AL,Alabama,10960872.0,10.960872,,0,0,,1,0,0,0
010005,2015,AL,Alabama,9756355.0,9.756355,,0,0,,1,0,0,0
010005,2016,AL,Alabama,9858366.0,9.858366,,0,0,,1,0,0,0
010005,2017,AL,Alabama,12454222.0,12.454222,,0,0,,1,0,0,0
010005,2018,AL,Alabama,12786280.0,12.78628,,0,0,,1,0,0,0
010006,2012,AL,Alabama,6857833.0,6.857833,,0,0,,0,0,0,0
010006,2013,AL,Alabama,5545740.0,5.54574,,0,0,,0,0,0,0
010006,2014,AL,Alabama,6300402.0,6.300402,,0,0,,1,0,0,0
010006,2015,AL,Alabama,6085206.0,6.085206,,0,0,,1,0,0,0
010006,2016,AL,Alabama,5936423.0,5.936423,,0,0,,1,0,0,0
010006,2017,AL,Alabama,11028048.0,11.028048,,0,0,,1,0,0,0
010006,2018,AL,Alabama,8453897.0,8.453897,,0,0,,1,0,0,0
010007,2011,AL,Alabama,32191.0,0.032191,,0,0,,0,0,0,0
010007,2012,AL,Alabama,1307251.0,1.307251,,0,0,,0,0,0,0
010007,2013,AL,Alabama,1180855.0,1.180855,,0,0,,0,0,0,0
010007,2014,AL,Alabama,1296649.0,1.296649,,0,0,,1,0,0,0
010007,2015,AL,Alabama,1245040.0,1.24504,,0,0,,1,0,0,0
010007,2016,AL,Alabama,1348634.0,1.348634,,0,0,,1,0,0,0
010007,2017,AL,Alabama,1335400.0,1.3354,,0,0,,1,0,0,0
010007,2018,AL,Alabama,1536196.0,1.536196,,0,0,,1,0,0,0
010008,2011,AL,Alabama,521983.0,0.521983,,0,0,,0,0,0,0
010008,2012,AL,Alabama,2413408.0,2.413408,,0,0,,0,0,0,0
010008,2013,AL,Alabama,2715184.0,2.715184,,0,0,,0,0,0,0
010008,2014,AL,Alabama,2734238.0,2.734238,,0,0,,1,0,0,0
010008,2015,AL,Alabama,16682.0,0.016682,,0,0,,1,0,0,0
010008,2016,AL,Alabama,764717.0,0.764717,,0,0,,1,0,0,0
010008,2017,AL,Alabama,635027.0,0.635027,,0,0,,1,0,0,0
010008,2018,AL,Alabama,43689.0,0.043689,,0,0,,1,0,0,0
010009,2012,AL,Alabama,427475.0,0.427475,,0,0,,0,0,0,0
010010,2011,AL,Alabama,768945.0,0.768945,,0,0,,0,0,0,0
010011,2012,AL,Alabama,6817509.0,6.817509,,0,0,,0,0,0,0
